communication,24,(noun)
community,44,(noun)
company,60,"(noun,verb)"
compare,10,(verb)
comparison,6,(noun)
compete,3,(verb)
competition,19,(noun)
competitive,14,(adjective)
complain,11,(verb)
complaint,9,(noun)
complete,24,"(adjective,verb)"
completely,14,(adverb)
complex,26,"(adjective,noun,verb)"
complicated,13,"(past,verb)"
comprehensive,2,(adjective)
computer,109,(noun)
concentrate,2,"(verb,noun)"
concept,15,(noun)
concern,18,"(verb,noun)"
concerned,22,"(past,verb)"
concerning,3,(preposition)
concert,2,"(noun,verb)"
conclusion,2,(noun)
condition,19,"(noun,verb)"
conference,3,"(noun,verb)"
confidence,8,"(noun,idiom)"
confident,1,(adjective)
confirm,4,(verb)
conflict,11,"(verb,noun)"
confusion,6,(noun)
connect,9,"(verb,adjective)"
connection,11,(noun)
conscious,1,(adjective)
consequence,1,(noun)
consider,57,(verb)
consideration,7,"(noun,idiom)"
consist,9,"(verb,noun)"
consistent,8,(adjective)
constant,8,"(adjective,noun)"
constantly,17,(adverb)
construction,6,(noun)
consult,3,(verb)
contact,19,"(noun,verb)"
contain,18,(verb)
content,26,"(adjective,verb,noun)"
contest,6,"(noun,verb)"
context,18,(noun)
continue,24,(verb)
contract,9,(noun)
contribute,9,"(verb,idiom)"
contribution,2,(noun)
control,62,(noun)
conversation,3,(noun)
convert,3,"(verb,noun)"
convince,2,(verb)
cook,40,"(verb,noun)"
cookie,2,(noun)
cool,12,"(adjective,adverb,noun,verb)"
copy,9,"(noun,verb,idiom)"
corner,6,"(noun,adjective,verb,idiom)"
correct,15,"(adjective,verb)"
cost,28,"(verb,noun)"
could,105,(auxiliary verb)
count,7,"(verb,noun,adjective,idiom)"
counter,2,"(noun,verb,adverb,adjective)"
country,37,(noun)
county,13,(noun)
couple,16,"(noun,verb)"
courage,2,(noun)
course,61,"(noun,verb)"
court,6,"(noun,verb,idiom)"
cousin,5,(noun)
cover,22,"(verb,noun)"
cow,1,"(noun,verb)"
crack,1,"(noun,verb,adjective)"
craft,26,"(noun,verb)"
crash,3,"(verb,noun,adjective,adverb)"
crazy,5,"(adjective,noun,idiom)"
cream,7,"(noun,verb,adjective,idiom)"
create,63,(verb)
creative,29,"(adjective,noun)"
credit,19,"(noun,verb)"
crew,7,"(noun,verb)"
critical,14,(adjective)
criticism,11,(noun)
criticize,1,(verb)
cross,4,"(noun,verb,adjective)"
cry,12,"(verb,noun,idiom)"
cultural,8,(adjective)
culture,20,"(noun,verb)"
cup,6,"(noun,verb)"
curious,2,(adjective)
currency,8,(noun)
current,52,"(adjective,noun)"
currently,19,(adverb)
curve,5,"(noun,verb,idiom)"
customer,15,(noun)
cut,50,"(verb,noun)"
cute,18,(adjective)
cycle,23,"(noun,verb)"
dad,2,(noun)
daily,16,(adverb)
damage,14,"(noun,verb)"
dance,37,"(verb,noun)"
dangerous,12,(adjective)
dare,1,"(verb,noun)"
dark,9,"(adjective,noun,idiom)"
data,74,(noun)
database,3,(noun)
date,18,"(noun,verb)"
daughter,8,"(noun,adjective)"
day,98,"(noun,adjective)"
dead,7,"(adjective,noun,adverb,idiom)"
deal,33,"(verb,noun)"
dealer,16,(noun)
dear,1,"(adjective,noun,adverb,interjection)"
death,15,(noun)
debate,16,"(noun,verb)"
debt,11,(noun)
decent,1,(adjective)
decide,25,(verb)
decision,20,(noun)
deep,13,"(adjective,noun,adverb)"
deeply,4,(adverb)
definitely,4,(adverb)
definition,44,(noun)
degree,8,"(noun,idiom)"
delay,1,"(verb,noun)"
deliberately,4,(adverb)
deliver,3,(verb)
delivery,7,(noun)
demand,39,"(noun,verb)"
department,28,(noun)
departure,1,(noun)
depend,11,(verb)
dependent,3,"(adjective,noun)"
deposit,10,"(verb,noun)"
depression,12,(noun)
depth,13,(noun)
describe,17,(verb)
description,11,(noun)
deserve,1,(verb)
design,29,"(noun,verb)"
designer,5,"(noun,adjective)"
desire,15,"(noun,verb)"
desk,2,(noun)
desperate,3,(adjective)
despite,17,(preposition)
destroy,1,(verb)
detail,7,"(noun,verb,idiom)"
detailed,7,"(past,verb)"
determine,40,(verb)
develop,49,(verb)
development,42,(noun)
device,7,(noun)
devil,3,"(noun,verb)"
diamond,1,(noun)
die,11,"(verb,idiom)"
diet,3,"(noun,verb)"
differ,9,(verb)
difference,28,(noun)
different,215,(adjective)
difficult,58,(adjective)
difficulty,7,(noun)
dig,6,"(verb,noun)"
dimension,5,"(noun,verb)"
dinner,4,(noun)
direct,20,"(adjective,adverb,verb)"
direction,33,(noun)
directly,34,(adverb)
director,10,(noun)
dirt,1,(noun)
dirty,2,"(adjective,verb)"
disagree,2,(verb)
disappointed,1,"(past,verb)"
disaster,5,(noun)
discipline,22,"(noun,verb)"
discount,13,"(noun,verb,adjective)"
discover,16,(verb)
discuss,19,(verb)
discussion,15,(noun)
disease,23,(noun)
dish,11,"(noun,verb,idiom)"
disk,23,(noun)
display,13,"(verb,noun)"
distance,14,"(noun,verb)"
distinct,5,(adjective)
distribute,5,(verb)
distribution,19,(noun)
district,6,"(noun,verb)"
divide,6,"(verb,noun)"
do,389,(auxiliary verb)
doctor,8,"(noun,verb)"
document,4,"(noun,verb)"
does,104,(verb)
dog,28,"(noun,verb)"
door,6,"(noun,idiom)"
dot,8,"(noun,verb,idiom)"
double,9,"(adjective,noun,verb,adverb)"
doubt,7,"(verb,noun,idiom)"
down,94,"(adverb,preposition,adjective,verb)"
downtown,2,"(adjective,adverb,noun)"
draft,4,"(noun,verb,adjective)"
drag,8,"(verb,noun,adjective,idiom)"
drama,7,(noun)
dramatic,11,(adjective)
draw,9,"(verb,noun,idiom)"
drawer,2,(noun)
drawing,4,(noun)
dream,8,"(noun,verb,adjective)"
